sir,953
are,811
we,698
captain,525
am,519
was,511
will,503
this,494
no,486
my,480
an,448
would,443
there,404
but,391
your,369
has,348
our,300
they,290
me,283
yes,277
commander,268
what,263
one,256
if,253
been,243
believe,238
all,216
can,212
doctor,209
their,201
may,200
two,183
which,182
were,177
could,165
time,162
his,158
computer,155
or,152
ship,150
so,146
three,143
perhaps,138
her,136
more,136
any,136
only,135
know,129
how,128
us,128
sensors,127
them,126
should,121
now,121
however,121
must,120
correct,119
system,118
cannot,118
when,116
did,116
power,116
geordi,115
into,113
energy,111
here,110
life,109
enterprise,108
human,107
other,105
its,102
within,101
field,99
possible,97
she,97
then,97
appears,97
does,96
course,96
than,95
warp,95
had,94
why,93
very,92
see,88
four,87
minutes,87
hours,87
systems,87
out,86
understand,85
some,84
way,83
find,83
able,82
still,81
something,81
data,80
vessel,80
about,79
these,79
hundred,79
well,79
counselor,78
lieutenant,78
information,78
ships,77
up,77
most,76
beam,75
point,74
take,74
starfleet,73
seconds,73
him,72
worf,72
years,71
another,70
subspace,70
nothing,69
several,68
just,68
like,67
also,67
being,67
first,66
planet,66
indicate,65
appear,65
thank,64
approximately,64
through,63
five,63
aye,63
much,62
same,62
never,60
might,60
sensor,60
down,59
percent,59
readings,59
quite,58
seem,58
use,58
found,57
wish,56
transporter,56
six,56
back,56
own,55
such,53
certain,53
federation,53
effect,53
need,53
unable,52
shields,52
surface,51
before,51
romulan,51
where,50
last,50
troi,50
yet,50
seven,50
over,49
too,49
attempt,48
core,47
question,47
experience,47
made,47
make,47
signal,47
probe,47
complete,47
program,47
radiation,47
who,46
form,46
since,46
analysis,46
attempting,45
please,45
say,45
planets,44
those,44
lal,44
require,44
range,44
crew,44
speed,44
nine,44
true,43
think,43
because,43
pattern,43
ago,43
level,43
picard,43
many,42
scan,42
show,42
thousand,42
after,41
new,41
left,41
access,41
during,40
both,40
fact,40
difficult,40
help,40
without,40
present,40
area,40
humans,40
wesley,40
distortion,40
contact,39
begin,39
ask,39
people,39
control,39
unusual,38
longer,38
right,38
different,38
similar,38
stop,38
spot,38
klingon,38
reading,38
memory,37
interesting,37
kilometers,37
levels,37
enough,37
come,37
twelve,37
suggest,37
capable,37
patterns,37
possibility,36
seems,36
ten,36
good,36
used,36
bridge,36
holodeck,36
aboard,36
normal,35
go,35
between,35
ensign,35
wrong,35
riker,35
temporal,35
highly,35
known,34
android,34
until,34
shuttle,34
further,33
transport,33
position,33
matter,33
sector,33
evidence,33
none,33
borg,33
eight,32
myself,32
off,32
destroyed,32
return,32
each,32
apparently,32
voice,32
second,32
ready,31
feel,31
work,31
even,31
la,31
explain,31
source,31
neural,31
continue,30
unknown,30
message,30
command,30
moment,30
engines,30
less,30
get,29
increase,29
leave,29
great,29
twenty,29
away,29
engineering,29
starship,29
said,29
small,29
room,29
high,29
impact,29
station,29
cause,29
plasma,28
period,28
days,28
curious,28
place,28
far,28
give,28
every,28
interface,28
kind,28
mister,28
long,28
space,28
again,28
negative,28
support,28
forge,28
man,28
order,28
possibly,28
structure,28
while,28
extremely,28
name,27
detecting,27
signs,27
anomaly,27
meters,27
answer,27
personal,27
main,27
number,27
increasing,27
simply,26
sense,26
although,26
coming,26
ah,26
immediately,26
anything,26
functioning,26
class,26
million,26
completed,26
wave,26
sorry,26
tractor,26
often,26
record,25
logs,25
determine,25
complex,25
thought,25
pulse,25
ever,25
direct,25
signature,25
want,25
records,25
set,24
once,24
behavior,24
almost,24
designed,24
exactly,24
indicates,24
interference,24
attack,24
given,24
try,24
itself,24
allow,24
failure,24
picking,24
quantum,24
according,24
study,24
emissions,24
discovered,23
death,23
told,23
excuse,23
degrees,23
enter,23
positronic,23
necessary,23
tell,23
device,23
under,23
times,23
quarters,23
identify,23
part,23
going,23
programmed,23
century,23
earth,23
medical,23
approaching,23
full,23
search,23
rift,23
provide,23
around,23
nature,23
atmosphere,23
nonspeaking,23
aware,22
process,22
created,22
against,22
clear,22
design,22
particle,22
language,22
important,22
others,22
considered,22
sure,22
phenomenon,22
likely,22
shield,22
damage,22
transmission,22
security,22
beverly,22
mean,21
detect,21
activity,21
orbit,21
decision,21
unlikely,21
moving,21
force,21
star,21
choice,21
end,21
theory,21
run,21
entire,21
seventeen,21
become,21
certainly,21
directly,21
light,21
rate,21
ferengi,21
toward,21
starboard,21
happened,20
trying,20
reason,20
best,20
crusher,20
particular,20
beginning,20
based,20
team,20
code,20
real,20
pulaski,20
professor,20
risk,20
change,20
forms,20
purpose,20
either,20
intriguing,20
wanted,20
hull,20
seen,20
malfunction,20
clearly,20
ability,20
explosion,20
lifeforms,20
inside,19
ahead,19
array,19
means,19
little,19
completely,19
better,19
consider,19
brain,19
frequency,19
agree,19
problem,19
put,19
sufficient,19
case,19
eleven,19
reach,19
mark,19
